,model,accuracy,run
0,r52_condenser_500d_batch40,0.9498,0
1,r52_condenser_500d_batch40,0.9498,1
2,r52_condenser_500d_batch40,0.9505,2
3,r52_condenser_500d_batch40,0.9494,3
4,r52_condenser_500d_batch40,0.954,4
5,r52_condenser_500d_batch40,0.9486,5
6,r52_condenser_500d_batch40,0.9521,6
7,r52_condenser_500d_batch40,0.9502,7
8,r52_condenser_500d_batch40,0.954,8
9,r52_condenser_500d_batch40,0.9525,9
